year,file_name,size_mb,last_modified
2019,24-12-2019.sql,135.6,2019-12-24 18:01:44
2019,28-02-2019.sql,103.63,2019-02-28 18:01:44
2019,30-04-2019.sql,104.6,2019-04-30 18:01:45
2019,30-06-2019.sql,128.7,2019-06-30 18:01:45
2019,30-09-2019.sql,133.33,2019-09-30 18:01:45
2019,30-11-2019.sql,135.21,2019-11-30 18:01:44
2019,31-01-2019.sql,100.94,2019-01-31 18:01:44
2019,31-03-2019.sql,103.97,2019-03-31 18:01:45
2019,31-05-2019.sql,110.25,2019-05-31 18:01:44
2019,31-07-2019.sql,130.77,2019-07-31 18:01:45
2019,31-08-2019.sql,132.58,2019-08-31 18:01:46
2019,31-10-2019.sql,134.36,2019-10-31 18:01:45
2020,01-02-2020.sql,135.8,2020-02-01 18:01:45
2020,29-02-2020.sql,137.27,2020-02-29 18:01:45
2020,30-04-2020.sql,137.98,2020-04-30 18:01:45
2020,30-06-2020.sql,144.29,2020-06-30 18:01:45
2020,30-09-2020.sql,159.73,2020-09-30 18:01:46
2020,30-11-2020.sql,165.48,2020-11-30 18:01:44
2020,31-03-2020.sql,137.66,2020-03-31 18:01:45
2020,31-05-2020.sql,138.39,2020-05-31 18:01:45
2020,31-07-2020.sql,157.26,2020-07-31 18:01:44
2020,31-08-2020.sql,158.16,2020-08-31 18:01:45
2020,31-10-2020.sql,162.84,2020-10-31 18:01:46
2020,31-12-2020.sql,165.78,2020-12-31 18:01:46
2021,28-02-2021.sql,166.38,2021-02-28 18:01:46
2021,30-04-2021.sql,179.57,2021-04-30 18:02:05
2021,30-06-2021.sql,180.03,2021-06-30 18:01:46
2021,30-09-2021.sql,183.25,2021-09-30 18:01:46
2021,30-11-2021.sql,186.54,2021-11-30 00:00:45
2021,31-01-2021.sql,166.03,2021-01-31 18:01:45
2021,31-03-2021.sql,168.19,2021-03-31 18:01:46
2021,31-05-2021.sql,179.9,2021-05-31 18:01:46
2021,31-07-2021.sql,180.66,2021-07-31 18:01:46
2021,31-08-2021.sql,182.52,2021-08-31 18:01:46
2021,31-10-2021.sql,185.32,2021-10-31 18:01:46
2021,31-12-2021.sql,187.87,2021-12-31 00:00:46
2022,26-02-2022.sql,188.43,2022-02-26 00:00:45
2022,29-06-2022.sql,340.48,2022-06-29 17:26:00
2022,30-04-2022.sql,189.34,2022-04-30 00:00:47
2022,30-09-2022.sql,355.18,2022-10-01 00:00:07
2022,30-11-2022.sql,357.12,2022-12-01 00:00:18
2022,31-01-2022.sql,188.06,2022-01-31 00:00:45
2022,31-03-2022.sql,188.94,2022-03-31 00:00:46
2022,31-05-2022.sql,340.39,2022-05-31 00:01:13
2022,31-07-2022.sql,342.41,2022-07-31 00:26:02
2022,31-08-2022.sql,343.94,2022-09-01 00:00:03
2022,31-10-2022.sql,355.58,2022-11-01 00:00:14
2022,31-12-2022.sql,357.87,2023-01-01 00:00:18
2023,26-12-2023.sql,385.52,2023-12-27 00:00:32
2023,28-02-2023.sql,364.02,2023-03-01 00:00:21
2023,30-04-2023.sql,377.59,2023-05-01 00:00:21
2023,30-06-2023.sql,381.0,2023-07-01 00:00:25
2023,30-09-2023.sql,383.8,2023-10-01 00:00:32
2023,30-11-2023.sql,385.12,2023-12-01 00:00:33
2023,31-01-2023.sql,363.51,2023-02-01 00:00:19
2023,31-03-2023.sql,367.71,2023-04-01 00:00:22
2023,31-05-2023.sql,379.64,2023-06-01 00:00:24
2023,31-07-2023.sql,381.57,2023-08-01 00:00:23
2023,31-08-2023.sql,382.83,2023-09-01 00:00:27
2023,31-10-2023.sql,384.97,2023-11-01 00:00:33
2024,28-02-2024.sql,387.47,2024-02-29 00:00:37
2024,29-01-2024.sql,386.25,2024-01-30 00:00:38
2024,30-04-2024.sql,390.85,2024-05-01 00:00:39
2024,30-06-2024.sql,414.49,2024-07-01 00:00:46
2024,30-09-2024.sql,420.02,2024-10-01 00:00:44
2024,30-11-2024.sql,422.02,2024-12-01 00:00:46
2024,31-03-2024.sql,388.71,2024-04-01 00:00:38
2024,31-05-2024.sql,413.25,2024-06-01 00:00:47
2024,31-07-2024.sql,415.84,2024-08-01 00:00:43
2024,31-08-2024.sql,418.59,2024-09-01 00:00:44
2024,31-10-2024.sql,421.41,2024-11-01 00:00:44
2024,31-12-2024.sql,422.38,2025-01-01 00:00:50
2025,28-02-2025.sql,422.95,2025-03-01 00:00:50
2025,30-04-2025.sql,426.39,2025-05-01 00:00:47
2025,30-06-2025.sql,303.71,2025-07-01 00:00:33
2025,30-09-2025.sql,307.58,2025-10-01 00:01:04
2025,30-11-2025.sql,311.03,2025-12-01 00:01:00
2025,31-01-2025.sql,422.8,2025-02-01 00:00:52
2025,31-03-2025.sql,424.93,2025-04-01 00:00:49
2025,31-05-2025.sql,285.72,2025-06-01 00:00:28
2025,31-07-2025.sql,305.07,2025-08-01 00:00:33
2025,31-08-2025.sql,307.11,2025-09-01 00:00:33
2025,31-10-2025.sql,308.93,2025-11-01 00:01:01
2025,31-12-2025.sql,311.38,2026-01-01 00:01:00
